0	50	1
0	51	1
0	52	1
0	53	1
0	54	1
0	55	1
0	56	1
0	57	1
0	58	1
1	50	1
1	51	1
1	52	1
1	54	1
1	55	1
1	56	1
1	57	1
2	50	1
3	51	1
3	52	1
3	53	1
3	54	1
3	55	1
3	56	1
3	57	1
3	58	1
4	50	1
4	57	1
5	50	1
6	50	1
6	51	1
6	52	1
6	53	1
6	54	1
6	55	1
6	57	1
6	58	1
7	50	1
7	58	1
8	50	1
8	57	1
9	50	1
9	51	1
9	52	1
9	54	1
9	55	1
9	56	1
9	57	1
10	50	1
10	58	1
11	50	1
11	51	1
11	52	1
11	53	1
11	54	1
11	55	1
11	57	1
11	58	1
12	51	1
12	52	1
12	54	1
12	55	1
12	56	1
13	50	1
13	55	1
13	56	1
13	57	1
14	50	1
15	50	1
15	51	1
15	52	1
15	54	1
15	55	1
15	56	1
15	57	1
16	50	1
17	55	1
17	58	1
18	50	1
18	51	1
18	52	1
18	53	1
18	54	1
18	56	1
18	57	1
19	51	1
19	52	1
19	55	1
19	56	1
19	57	1
19	58	1
20	50	1
20	51	1
20	52	1
20	53	1
20	54	1
20	55	1
20	56	1
20	58	1
21	50	1
22	50	1
23	50	1
23	51	1
23	52	1
23	54	1
23	55	1
23	56	1
23	57	1
24	50	1
25	50	1
26	50	1
27	50	1
27	57	1
27	58	1
28	50	1
28	51	1
28	52	1
28	53	1
28	54	1
28	55	1
28	56	1
29	51	1
29	52	1
29	54	1
29	55	1
29	57	1
29	58	1
30	50	1
30	51	1
30	52	1
31	51	1
31	52	1
31	55	1
31	58	1
32	56	1
32	57	1
32	58	1
33	50	1
33	51	1
33	52	1
33	53	1
33	54	1
33	55	1
33	56	1
33	57	1
34	50	1
34	51	1
34	52	1
34	54	1
34	55	1
34	56	1
34	58	1
35	50	1
35	51	1
35	52	1
35	53	1
35	54	1
35	55	1
35	56	1
35	57	1
36	50	1
37	51	1
37	52	1
37	55	1
37	56	1
37	57	1
38	50	1
38	51	1
38	52	1
38	53	1
38	54	1
38	55	1
38	56	1
38	58	1
39	51	1
39	52	1
39	54	1
39	58	1
40	51	1
40	52	1
40	53	1
40	54	1
40	55	1
41	50	1
41	51	1
41	52	1
41	53	1
41	54	1
41	55	1
41	56	1
42	50	1
42	51	1
42	52	1
42	55	1
42	57	1
42	58	1
43	51	1
43	52	1
43	53	1
43	54	1
43	55	1
43	56	1
43	57	1
44	51	1
44	52	1
44	53	1
44	55	1
44	57	1
44	58	1
45	51	1
45	55	1
45	58	1
46	50	1
46	58	1
47	50	1
47	51	1
47	52	1
47	54	1
47	55	1
47	57	1
47	58	1
48	50	1
48	58	1
49	50	1
49	57	1
49	58	1
