0	18	1
0	19	1
0	20	1
0	21	1
0	22	1
0	23	1
0	25	1
0	26	1
1	18	1
1	19	1
1	20	1
1	22	1
1	23	1
1	24	1
1	25	1
2	19	1
2	20	1
2	21	1
2	22	1
2	23	1
2	24	1
2	25	1
2	26	1
3	18	1
3	20	1
3	21	1
3	22	1
3	23	1
3	24	1
3	25	1
4	20	1
4	21	1
4	22	1
4	24	1
5	20	1
5	22	1
5	23	1
5	25	1
6	22	1
6	23	1
6	24	1
6	25	1
7	23	1
7	25	1
7	26	1
8	22	1
8	24	1
8	25	1
8	26	1
9	24	1
9	25	1
9	26	1
9	29	1
10	25	1
10	26	1
10	27	1
10	29	1
11	25	1
11	26	1
11	27	1
11	29	1
11	30	1
11	31	1
12	24	1
12	25	1
12	26	1
12	27	1
12	29	1
12	30	1
12	31	1
13	23	1
13	24	1
13	26	1
13	27	1
13	28	1
13	29	1
13	30	1
13	31	1
14	24	1
14	25	1
14	27	1
14	28	1
14	29	1
15	25	1
15	26	1
16	26	1
16	28	1
17	26	1
17	28	1
